Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Back_Plate_Link,0.714909644640723,0.967936869552308,1.34621557799108,0,0,0,0.792603624113177,0.00122103079827944,6.22905706953202E-12,9.44022368871922E-13,0.0140755252395713,-8.39352655854368E-13,0.0152909410531872,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Back_Plate_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Back_Plate_Link.STL,6061 Alloy,Mk1_HC102_Back_Chassis_Part-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right_HChassie_Link,-0.340645498166956,1.08820934822623,1.07981890118726,0,0,0,1.20142649065134,0.00503889722604952,4.55842701528502E-08,-5.98619048124899E-08,0.00412237382055005,-0.00102232781580552,0.00306837336250548,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_HChassie_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_HChassie_Link.STL,6061 Alloy,Mk1_HC101_Right_Chassis_Part-1,Origin_Righ_HChassie_Joint,Axis_Righ_HChassie_Joint,Righ_HChassie_Joint,prismatic,0.59014,-2.637,-0.22002,1.5708,0,3.1416,Back_Plate_Link,1,0,0,100,0.1,-0.146,0,,,,,,,,
Right_Hip_Shaft_Link,2.22044604925031E-16,0.076036762026722,0,0,0,0,0.247140054737339,0.000313972001489882,1.95651237966424E-19,-5.9292306307801E-21,2.97646250879029E-05,-3.28473448023238E-20,0.00031429004293536,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_Hip_Shaft_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_Hip_Shaft_Link.STL,6061 Alloy,Mk1_HC103_Hip_Shaft_Part-2,Origin_Right_Hip_Shaft_Joint,Axis_Right_Hip_Shaft_Joint,Right_Hip_Shaft_Joint,continuous,-0.40893,0.94591,1.0082,3.1416,-0.045286,3.1416,Right_HChassie_Link,0,1,0,10,2,-3.14,3.14,,,,,,,,
Right_Hip_Cycloidal_Link,0.00372968172523724,0.00134900887230516,-0.0502043322101461,0,0,0,1.37218388691195,0.0020017716486344,6.57297567069337E-19,8.77550274032823E-07,0.00118182206614377,-3.31782805439509E-18,0.00107675176037036,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_Hip_Cycloidal_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_Hip_Cycloidal_Link.STL,6061 Alloy,Mk1_HY100_Hip_Cycloidal_Gearbox_Shaft_Part-2,Origin_Right_Hip_Cycloidal_Joint,Axis_Right_Hip_Cycloidal_Joint,Right_Hip_Cycloidal_Joint,continuous,0,0.01,0,-1.5708,0,-0.01203,Right_Hip_Shaft_Link,0,1,0,10,2,-3.14,3.14,,,,,,,,
Right_UpperLegs_Link,0.066916816701301,-0.19126826874915,0.0408400447349009,0,0,0,3.74720914353767,0.00911486578364681,0.000435154304287347,-4.14724196337186E-05,0.00554512894074912,-0.000200225231117297,0.00455048924924164,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_UpperLegs_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_UpperLegs_Link.STL,6061Alloy,MK1_LC_101_UpperLeggs_Parts-1,Origin_Right_UpperLeggs_Joint,Axis_Right_UpperLeggs_Joint,Right_UpperLeggs_Joint,continuous,0.00072176,0,-0.059996,1.7994,0.12036,-3.1282,Right_Hip_Cycloidal_Link,0.99268,0.11998,-0.01411,10,2,-3.14,3.14,,,,,,,,
Right_LowerLegs_Link,0.0528469326054373,-0.125543997314281,-0.0665849185486671,0,0,0,2.58484179824086,0.00558005687408872,0.000344551524331608,3.71277929776553E-05,0.0026422262731878,-0.00058882120585065,0.00347491115900776,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_LowerLegs_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Right_LowerLegs_Link.STL,6061 Alloy,Mk1_LC102103_LowerLegs_Parts-1,Origin_Right_LowerLegs_Joint,Axis_Right_LowerLegs_Joint,Right_LowerLegs_Joint,continuous,0.0624269529683414,-0.504608899331284,0.101211497466347,-0.699714864758003,-0.0743188968564324,0.0374775456024245,Right_UpperLegs_Link,0.992676350499628,0.119977339853611,-0.0141103182242711,10,2,-3.14,3.14,,,,,,,,
Left_HChassie_Link,0.0873319625663402,1.07435195288603,1.00400511216122,0,0,0,1.20142649065134,0.00503889722604952,7.73044673509021E-08,9.38835059847482E-08,0.00412237382055004,0.00102232781580552,0.00306837336250549,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_HChassie_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_HChassie_Link.STL,,Mk1_HC100_Left_Chassis_Part-1,Origin_Left_HChassie_Joint,Axis_Left_HChassie_Joint,Left_HChassie_Joint,prismatic,0.411798024682421,-0.55313346003615,-0.204183646873211,1.5707963267949,0,0,Back_Plate_Link,1,0,0,100,0.1,-0.145907420396912,9.25796030877835E-05,,,,,,,,
Left_Hip_Shaft_Link,5.55111512312578E-17,0.076036762026722,0,0,0,0,0.247140054737338,0.00031397200148988,-2.18064809992444E-19,-8.470329472543E-22,2.97646250879028E-05,-2.62407495947966E-19,0.000314290042935358,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_Hip_Shaft_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_Hip_Shaft_Link.STL,6061 Alloy,Mk1_HC103_Hip_Shaft_Part-1,Origin_Left_Hip_Shaft_Joint,Axis_Left_Hip_Shaft_Joint,Left_Hip_Shaft_Joint,continuous,0.01905,0.930079169496317,1.07560667569494,0,-0.0220774113649122,0,Left_HChassie_Link,0,1,0,100,1,-3.14,3.14,,,,,,,,
Left_Hip_Cycloidal_Link,0.00380430722148767,0.0013490088723016,-0.0502044658167942,0,0,0,1.37218388691195,0.00200177164863441,4.74338450462408E-20,8.77550274032169E-07,0.00118182206614377,-4.97486272724092E-18,0.00107675176037037,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_Hip_Cycloidal_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_Hip_Cycloidal_Link.STL,6061 Alloy,Mk1_HY100_Hip_Cycloidal_Gearbox_Shaft_Part-3,Origin_Left_Hip_Cycloidal_Joint,Axis_Left_Hip_Cycloidal_Joint,Left_Hip_Cycloidal_Joint,continuous,0,0.01,0,1.5707963267949,0,3.12598229505127,Left_Hip_Shaft_Link,0,1,0,10,2,-3.14,3.14,,,,,,,,
Left_UpperLegs_Link,0.0652070830416887,-0.191590811658865,0.0406315340128633,0,0,0,3.74720965466508,0.00911486645574242,0.000435154355179876,-4.14723452963794E-05,0.00554512942075892,-0.0002002255176868,0.00455048954212254,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_UpperLegs_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_UpperLegs_Link.STL,6061 Alloy,MK1_LC_101_UpperLeggs_Parts-3,Origin_Left_UpperLegs_Joint,Axis_Left_UpperLegs_Joint,Left_UpperLegs_Joint,continuous,-0.000936583472938901,0,-0.0599926896496419,1.75162061268028,0.120856376290697,-3.13389605568639,Left_Hip_Cycloidal_Link,0.992676350499629,0.119977339853606,-0.0141103182242561,10,2,-3.14,3.14,,,,,,,,
Left_LowerLegs_Link,0.0511266539974181,-0.12575191371004,-0.0665604656294172,0,0,0,2.5848417667501,0.00558005687304269,0.000344551509902078,3.71277762146219E-05,0.00264222628743292,-0.000588821195383592,0.00347491115936925,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_LowerLegs_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://MK1_FB900_Full_Body_Assembly_Flattned7/meshes/Left_LowerLegs_Link.STL,6061 Alloy,Mk1_LC102103_LowerLegs_Parts-2,Origin_Left_LowerLegs_Joint,Axis_Left_LowerLegs_Joint,Left_LowerLegs_Joint,continuous,0.062437496245694,-0.504723531016868,0.100978537262008,-0.602388430252528,-0.0658539572613486,0.0292800944407881,Left_UpperLegs_Link,0.992676350499629,0.119977339853609,-0.0141103182242607,10,2,-3.14,3.14,,,,,,,,
